ID,LakeName,ResidentialCount_2004,ResidentialCount_2005,ResidentialCount_2006,ResidentialCount_2007,ResidentialCount_2008,ResidentialCount_2009,ResidentialCount_2010,ResidentialCount_2011,ResidentialCount_2012,ResidentialCount_2013,ResidentialCount_2014,ResidentialCount_2015,AgriculturalCount_2005,AgriculturalCount_2006,AgriculturalCount_2007,AgriculturalCount_2008,AgriculturalCount_2009,AgriculturalCount_2010,AgriculturalCount_2011,AgriculturalCount_2012,AgriculturalCount_2013,AgriculturalCount_2014,AgriculturalCount_2015,CommercialCount_2005,CommercialCount_2006,CommercialCount_2007,CommercialCount_2008,CommercialCount_2009,CommercialCount_2010,CommercialCount_2011,CommercialCount_2012,CommercialCount_2013,CommercialCount_2014,CommercialCount_2015,IndustrialCount_2005,IndustrialCount_2006,IndustrialCount_2007,IndustrialCount_2008,IndustrialCount_2009,IndustrialCount_2010,IndustrialCount_2011,IndustrialCount_2012,IndustrialCount_2013,IndustrialCount_2014,IndustrialCount_2015,PublicCount_2005,PublicCount_2006,PublicCount_2007,PublicCount_2008,PublicCount_2009,PublicCount_2010,PublicCount_2011,PublicCount_2012,PublicCount_2013,PublicCount_2014,PublicCount_2015
11,Bald Eagle Lake,,-0.056994819,0.00070028,-0.004204625,0.013956734,-0.016277424,-0.032729805,-0.002697235,0.012104909,0.000680735,0.35013624,0.001048218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.019230769,0.037735849,-0.039215686,-0.018867925,-0.018518519,0.872727273,-0.285714286,-3.5,0,0,0.049382716
12,Baldwin Lake,,-0.020905923,-2.701365188,-0.000922084,0.017503455,0.000468823,-0.005159475,0.001399907,0.001869159,0.001404494,0.065166432,-0.001003009,0,0.992710404,0.090909091,0,0,0,0,0,0,0,0.6,0,-0.357142857,0.105263158,0,0,-0.088235294,0,-0.081081081,0,-0.025,0,0,0,-0.5,0,0,0,0,0,0,0,0,0,-9.5,-0.05952381,0.039325843,0,0.070175439,0,-0.201257862,-0.010471204,-0.020725389,0
13,Barker Lake,,0,0,0.006944444,-0.055944056,-0.013245033,0.267973856,-0.026785714,0.191304348,0,0.021505376,-0.021978022,0,0,0.016260163,0,0.016528926,-0.159663866,-0.072463768,0.297297297,0.096153846,0,-0.021276596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,-1,-3,-0.214285714,0.705882353,0.1,0,0
14,Barnes Lake,,-0.743902439,-0.34965035,0.051813472,-0.005464481,-0.010869565,0.462365591,0,-0.01,-0.03960396,0.028571429,0,0,0.037735849,-0.137254902,0.051724138,0.018181818,-0.074074074,0,0.017241379,-0.070175439,0.114754098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-0.75,0,0.047619048,0,0,0,0,0
15,Bass Lake,,0,0,0,-0.005899705,-0.005865103,0.39941691,-0.09223301,0.173333333,-0.005376344,0,0.042780749,0,0,0,0.037037037,-0.019230769,0.132075472,-0.108695652,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,-1,-1.571428571,-1.111111111,0.815789474,0,0,0
16,Battle Creek Lake,,0.003154574,-10.56962025,0.016137856,-0.056157909,0.029481442,0.449145647,0.000492368,0.000985222,0.000986193,0.063672261,-0.000527148,0,0,0,0,0,0,0,0,0,0,0.666666667,0,0,0,0,0,0,-0.010471204,0.010362694,0.010471204,-0.015873016,0.036458333,0,0,0,0,0,-1,0,-19,0,-0.05,0,0,-50.16666667,-0.013029316,0.475884244,-0.950920245,-0.27672956,-0.009852217,0.004878049,-0.024509804,0.004784689,0.0625
17,Bavaria Lake,,-0.105411499,-0.070372259,-0.090042878,-0.01486014,0.016795866,0.373193167,-0.030747729,-0.060338983,-0.082480818,-0.018310691,0,-2.440677966,0.714285714,0.103448276,0.173076923,0,-0.11627907,0,-0.083333333,0.038461538,0.04,0.041666667,0,0,0,0,0,0,0,-0.2,-0.166666667,0.714285714,0,0,0,0,0,0,0,0,0,0,0,0,-0.6,-0.09375,-0.114285714,-0.282051282,-0.05,0.028571429,0,-0.078431373,-0.027272727,-0.14159292,-0.19379845
18,Bay Pond,,0,0,-0.094623656,-0.063850688,-0.000923361,0.490774908,-0.009057971,0.02513465,0.003683241,-0.022181146,0.014466546,0,0,0.078431373,-0.042553191,0.040816327,-0.191489362,0,0.25,0.023809524,0.024390244,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.139534884,0.486486486,-0.947368421,-2.513513514,0,0.061538462,0,-0.032786885,0.03968254
19,Benton Lake,,-0.008391608,-0.006934813,-0.020661157,-0.001349528,0.01212938,0.320600273,0.008032129,0.022267206,-0.035196687,0.018,0.00203666,-0.087912088,-0.141414141,0.212389381,-0.02247191,-0.043956044,0.073684211,-0.022727273,0,0.011111111,-0.02247191,0,0,0,0,0,0,0,0,0,0,0,0,-0.117647059,0,0,0,0,0,0,-0.105263158,0,-0.19047619,0,0,-0.02173913,0,-0.042553191,-0.040816327,0.019607843,0.08,-0.086956522,-0.1,0,-0.018181818
20,Benz Lake,,0,0,0.01242236,-0.025157233,0.012269939,0.366459627,0.068627451,0.115789474,0.011904762,0.036144578,-0.025,0,0,-0.058823529,0.111111111,-0.0625,-0.176470588,-0.05,0.380952381,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.555555556,-1.25,-2.777777778,0.176470588,0.714285714,-0.25,0,0
21,Berliner Lake,,-0.283643892,-0.001612903,-0.098228663,0.003665689,0.002943341,0.346125461,0.004514673,0.02154195,-0.068366165,0.037960954,0,0.300236407,-0.462837838,0.302540416,0.013245033,0.033557047,-0.03125,0,0,-0.01010101,-0.023333333,-0.013029316,0,0,0,0,0,0,0,0.017094017,0,0.139130435,-0.02020202,0.181818182,0,0,0.111111111,0,0,0,0,0,-0.125,0.111111111,-0.173913043,0,-0.148148148,-0.225806452,-0.105263158,-0.095238095,-0.02173913,0,-0.021276596,0.083333333,-0.022727273
22,Beutel Pond,,0,0,0.002426203,-0.022699635,0.021006738,0.484210526,-0.000784929,0.005490196,0,-0.000788644,0.006304177,0,0,0,0.041666667,0.043478261,0.090909091,0,0.3,0,-0.428571429,0.15,0,0,0,0,0,0,-0.02173913,0,0.021276596,0.065217391,0.023255814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.489795918,-1,-0.08,0,0,-0.009259259,0,0.009174312
23,Big Carnelian Lake,,0,0,0.0155521,0.090047393,-0.088541667,0.497607656,-0.012698413,0.018808777,-0.012779553,0.003154574,0.009493671,0,0,0,-0.074074074,0,0.103448276,-0.076923077,0.214285714,0,0.090909091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.541666667,-1.181818182,-0.333333333,0,0,0,0,0.125
24,Big Marine Lake,,0,0,0.024691358,0.088607595,-0.097222222,0.46835443,-0.023809524,0.046511628,0.048780488,0,0,0,0,0,0,0,0,-0.066666667,0.3125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.490740741,-1,-0.145454545,-0.19047619,0.213333333,-0.033898305,0,0.024590164
25,Big Woods Lake,,0,0.007194245,0,-0.02173913,-0.007092199,0.288732394,0,0.01980198,-0.080808081,0.046728972,0,-0.111111111,0.1,0,0.111111111,0,0.0625,0,-0.066666667,0.0625,0.133333333,0,0,0,0,0,0,0,0,-0.071428571,-0.033333333,0.161290323,0.076923077,-0.07,0,0,0,0.009345794,-0.018867925,0,-0.055555556,0,-0.035087719,0.050847458,0,0,0,-0.034482759,-0.066666667,-0.140625,0,0.150684932,0.064516129,-0.051724138,0
26,Birch Lake,,-0.013470281,-0.026084067,-0.005829016,0.005634256,-0.001942691,-0.057036678,-0.013451544,0.049019608,-0.000317209,0.363881402,0.020438684,0,-1.217391304,0,0.196078431,0.048780488,-0.358974359,0.113207547,0.404255319,-0.071428571,0,0,-0.153846154,0.133333333,0,-0.153846154,0.133333333,-7.615384615,0,-1.955357143,-0.01510574,-0.047619048,-0.053977273,0.045454545,0.047619048,-0.175,-0.031914894,-0.103092784,0.168224299,-0.02247191,-0.131868132,0.126213592,0,0.022222222,0.00591716,0.015873016,-0.054435484,0.001912046,0,0.655172414,-0.45,0.118773946,0.008695652,-0.013157895,0.203463203
27,Bone Lake,,0,0,0.012158055,0.006153846,-0.018575851,0.47112462,-0.022988506,0.06741573,0.012048193,0,0.048780488,0,0,0.027777778,0,0.028571429,-0.176470588,0.025,0.205128205,-0.032258065,0,0.09375,0,0,0,0,0,0,0,0,0,0.666666667,-0.25,0,0,0,0,0,0,0,0,0,0,-0.25,0,0,0,0.380952381,-0.615384615,-1.285714286,0.083333333,0.272727273,0,0.375,0.3
28,Brand Lake,,-0.064128257,-0.003766478,-0.003752345,0,-0.002803738,0.225535881,-0.001203369,0.028846154,-0.054455446,0.021126761,0.005995204,0.010309278,-0.036458333,-0.08040201,0.074418605,0.015075377,0.015306122,0.031088083,-0.058823529,0,-0.03030303,-0.019607843,0,0,0,0,0,0,-0.011428571,0,0,0.06779661,-0.012121212,-0.277777778,0,0.608695652,0,0,-0.111111111,0,-0.4,-0.142857143,-0.25,0,-0.007407407,0.014705882,-0.014925373,-0.183823529,0,-0.236024845,0.065326633,0,0.010752688,0.027173913,0
29,Braunworth Lake,,0.007462687,-0.01754386,-0.007389163,0,0.007334963,0.302955665,0,0.014134276,-0.053763441,0.027210884,0,-0.056603774,0.107142857,0.04,0,0,-0.041666667,0,0.02,-0.040816327,0.058823529,0.020833333,0,0,0,0,0,0,0,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,-0.032258065,0,0,0.09375,0,0
30,Brick Pond,,0,0,-0.033752244,-0.025008684,0.017621145,0.490858917,0.008807588,0.008885851,-0.002068966,0.004129387,0.040774015,0,0,0.4,-0.333333333,0.25,-1.666666667,0,0.5,0,0,0,0,0,0,0,0,0,0.008474576,0.012820513,0.012987013,-0.013157895,0.006493506,0,0,0,0,0,-1,0.071428571,-0.615384615,0.047619048,-0.15,0,0,0,0.022151899,0.488673139,-0.949367089,-0.24025974,-0.02617801,0.040816327,0.015957447,0.010810811,0.117486339
31,Brickyard Clayhole Lake,,0.005053696,-0.004444444,-0.044247788,-0.033898305,0.003512881,0.366627497,0.001855288,0.007434944,-0.030898876,-0.0208901,0,0,-5.5,0.948717949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02173913,0,0,0.022222222,0,0,-0.6,0,0,0,-0.25,-0.4,0,0.142857143,0,-0.161764706,0.012658228,0,-0.025641026,0.01875,0.114649682,-0.014388489,0,0.007092199,-0.071428571,0
32,Bryant Lake,,0,0.143415906,-0.00304414,-0.013657056,0.004491018,0,-0.003007519,0.002998501,0.372932331,-0.019184652,0.021176471,0,0,0,0,0,0,0,0,0,0,0,0,-0.421875,-0.010989011,-1.043478261,0.313829787,0,0.015503876,-0.007874016,-0.0703125,0.058394161,-0.015503876,0,0,0,-1.666666667,0.625,0,0,0,0,0,0,0,-0.166666667,0,-0.142857143,0,0,0,0,0,-0.75,0
33,Buck Lake,,0.37527115,1,0,0,0,0,-0.128919861,-0.24382716,-0.382133995,0.31059246,-0.002604167,0.323809524,1,0,0,0,0,0.106060606,0.076271186,0.018348624,-0.018691589,-0.018348624,0,0,0,0,0,0,0,0.142857143,0.083333333,-0.090909091,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,1,0,0,0,0,-1.666666667,0,0,-0.375,0
34,Burandt Lake,,-0.082561728,-0.04537895,-0.035454545,-0.010755048,-0.001085776,0.305422993,0.000936914,0.003438575,-0.011606023,0.008682171,-0.019705974,-2.6,-0.152777778,0.779116466,0.145454545,-0.021276596,-0.020833333,-0.040816327,0,0,-0.098039216,0.107142857,0,0,0,0,0,0,0.004889976,-0.004914005,0.004889976,0.014742015,-0.007481297,-0.083333333,0,0,0,0,0,0,0,-0.038461538,-0.222222222,0,-0.047619048,-0.027272727,-0.044247788,-0.084745763,0.015625,0.107142857,-0.008888889,0,0,0.017621145,-0.049327354
35,Bush Lake,,-4434.666667,0.031261742,-0.001784191,-0.002942543,0.011890056,0.000468823,0.000469043,-0.006335054,0.358514028,-0.002301914,-0.002417503,0,0,0,0,0,-0.051724138,0,0,0,0,0,0,0.006666667,0.013422819,-0.183673469,0.109195402,0.012903226,-0.013071895,-0.006451613,0.006410256,0,0,0,0.043103448,-0.027027027,-0.035087719,0.033898305,-0.01754386,-0.017241379,0.033898305,0.01754386,0,0.017857143,-139,0.011904762,0,-0.004819277,0,-0.004796163,-0.00477327,0,-0.002375297,0,0.004739336
36,Byllesby Lake,,-0.060639471,-0.018191268,-0.017355794,-0.003261415,-0.010752688,-0.029688273,0.044449784,-0.321599195,-0.005517504,-0.003405866,-0.007165755,-0.087966805,-0.023264683,0.035035408,0.008883739,-0.028838659,-0.000378788,-0.014009845,-0.005601195,0.005941329,-0.017930519,0.008807339,0,-0.04137931,-0.006622517,0.026315789,-0.054054054,0.012820513,0.038961039,0.027027027,0.020833333,-0.007092199,-0.028169014,0.060606061,0,-1.516129032,-0.025641026,0.55,-0.055555556,-0.105263158,-0.095238095,0.086956522,0.047619048,0,-0.033726813,-0.004893964,-0.003246753,0.017799353,-0.026359143,-0.155698234,-0.091666667,-0.049618321,-0.006060606,-0.060240964,0.003409091
37,Calhoun Lake,,0,0.043625106,-3.833137139,0.52134202,-0.157486325,0.003352017,0.002205436,-0.002818147,-0.538792153,0,0.003115376,0,-1.214723926,-72.15235457,0.649197213,-0.265759931,0.004605151,0.002912954,-0.004639973,-0.878549436,0,0.004735021,0,0.044922789,-12.62763351,0.556266628,-0.098849457,0.034876862,0.038658415,0.015576572,-0.824009042,0.00283261,0.000177541,0,0.166467066,0.037356322,-2.794029851,0.383949646,0.342273308,0.468932039,0.928702011,0.051282051,0.108108108,0,0,0.235294118,-0.076923077,-0.428571429,0,0,0,0,0,0,0
38,Campbell Lake,,-0.028169014,-0.034246575,0,0,-0.708609272,0.348837209,0.035714286,0.043209877,-0.270967742,0.172588832,0,0.00295858,0.011869436,0,-0.327327327,0.233031674,-0.008849558,0.00877193,-0.01179941,0.008746356,-0.041176471,-0.008474576,0,0,0,0,0,0,0.090909091,0,0,-0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.5,-1.25,0,0,-0.222222222,0,0
39,Capaul Pond,,0,0,-0.026041667,0,0,0.47715736,-0.019417476,0.057142857,-0.01010101,0,0.03,0,0,0.1875,-0.038461538,0.037037037,-0.692307692,-0.045454545,0.391304348,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.526315789,-1.111111111,0.052631579,-0.222222222,0.181818182,0.111111111,0,0
40,Carol Lake,,0,0,0,-0.012244898,0.004032258,0.465587045,0.007575758,0.038167939,0,0,-0.007936508,0,0,0,0.041666667,0,-0.173913043,0.037037037,0.192307692,0.047619048,-0.05,0.047619048,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,-1,-0.6,0.375,0,0,0,0
41,Carver Lake,,0.000734214,-1.453588048,0.000399281,-0.018374276,0.014610708,0.284207384,-0.008897539,0.006200909,0,0.234193012,0.000724244,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.134328358,0.006578947,0,-0.006622517,0,-12,-0.019230769,0,-0.075471698,-0.912280702,0,-0.71559633,0,0,0,-0.00921659,-1.278538813,-0.014028056,0.266798419,-0.420485175,0.151802657,-0.071588367,-0.192066806,-0.001751313,-0.020979021,0.023972603
42,Cates Lake,,0.291889667,1,0,0,0,0,-0.026835443,-0.066568047,-0.514563107,0.328144078,-0.005452067,0.352941176,1,0,0,0,0,-4.25,0.047619048,0.175,-0.212121212,-2.85,0,1,0,0,0,0,0,0.045454545,0.142857143,0,-0.333333333,0.333333333,1,0,0,0,0,0.166666667,0.2,0.375,-0.4,-0.285714286,0.255230126,1,0,0,0,0,-0.08372093,0.042918455,-0.053811659,0.021276596,-0.130434783
43,Cedar Island Lake,,0,0.021249469,-0.008250109,-0.012489233,-0.002126755,0.000848896,-0.000849618,-0.005942275,0.362869198,-0.061589404,-0.048034934,0,0,0,0,0,0,0,0,0,0,0,0,0.018099548,-0.382488479,-0.496666667,0.20935412,-0.005633803,0.005602241,-0.047887324,0.008064516,0,-0.016260163,0,-0.305785124,0.208860759,0.04,0.058333333,-0.097345133,-0.016129032,0.26984127,-0.565217391,0.402777778,0.023255814,0,0,-0.3,0.076923077,-0.041666667,-0.08,0,-0.074074074,0.172413793,0,0.166666667
44,Cedar Lake,,0.311491443,1,0,0,0,0,-0.077348066,-0.175641026,-0.354416576,0.356280193,0.001250782,0.428712871,1,0,0,0,0,-0.018587361,0.04379562,-0.013358779,-0.032015066,-0.054744526,-7.666666667,1,0,0,0,0,-21.33333333,-0.02238806,0.094890511,-0.129032258,0.014285714,0,0,0,0,0,0,-1,0.05,0.263157895,-0.357142857,0,0.225806452,1,0,0,0,0,-0.125984252,0.013986014,0.042553191,-0.051851852,-0.23943662
45,Cenaiko Lake,,0,-1.732808464,-0.034166104,0.003351615,0.000524086,-0.00013109,0.000699056,0.000218608,0.1276512,-0.001554041,0.000850893,0,0.989918039,0.971223022,0.25,0,-0.666666667,0,-0.5,-4.733333333,0.674418605,-6.678571429,0,0.207179487,-0.050452781,0.070197044,-0.002649007,0.001321004,0.002645503,-0.00265252,0.002645503,0,-0.017241379,0,-56.16666667,0.011661808,0.038348083,-0.018404908,0.036144578,-0.0125,0.012345679,0,0.00625,0.018867925,0,-8.5,-0.005012531,0.088944306,-0.000912409,-0.018231541,-0.003581021,-0.003568243,-0.026666667,0.001731602,-0.003469211
46,Centerville Lake,,0,-78.90909091,-0.029579067,-0.062983425,0,0.001039501,-0.001040583,0,0.001039501,0.002081165,0.002085506,0,0.986865672,0,0.045454545,0,-0.095238095,0.086956522,0,0.095238095,0,0,0,0,0.055555556,-0.088235294,0,-0.081081081,0.1,-0.027777778,0.027027027,0.055555556,0.029411765,0,0,0,-0.142857143,0,0,0,0,0,0,0,0,0,-0.076923077,-0.12755102,-0.018099548,-0.008888889,0,-0.004405286,-0.021929825,-0.008583691,0.017021277
47,Charley Lake,,0.005084746,-0.001277683,0,-0.000425351,-0.00042517,-0.041223969,-0.009387755,0.049332794,-0.002552105,0.352142554,-0.001309758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.333333333,-0.05,0,0.095238095,0,0,0,0,0,1,0,0,0,0.5,0,-0.106870229,-0.013793103,0.013605442,0,-0.013793103,0.931972789,-1.9,-0.620689655,0,0.14893617,0
48,Christmas Lake,,-4.986688852,0.000833797,-0.002225313,-0.023452678,-0.00379661,0.073618803,0.00029163,0.011522754,0.301608381,0.009507712,-0.042022184,0,0.003802281,0,-0.709923664,0,0,0,0.004464286,0,0,-0.417040359,0,0.113861386,-0.019553073,-0.04109589,0.073684211,0.076704545,0,-0.018461538,0,-0.024169184,-0.01179941,-20,0,-0.095238095,0,0,0,-0.173913043,0.148148148,0.173913043,0,0,-5.846153846,-0.039325843,0,0,-0.010810811,0.032085561,-0.011049724,0.021857923,0,0.011173184,0
49,Chub Lake,,0.05732362,0.177954037,-0.047748639,-0.002597403,-0.020018841,-0.265065805,0.011863479,-0.212227558,-0.084869724,0.085674157,0.001536098,0.056858847,0.008853288,0.068481497,0.003652968,-0.001374885,-0.091075515,0.005872483,-0.020675105,-0.004960728,0.001645413,0.001236094,-0.204225352,0.245614035,-0.031007752,-0.015037594,-0.02962963,-0.064748201,-0.648648649,-0.016393443,0.052419355,-0.059574468,-0.064257028,0.146341463,0.342857143,0,0,0,-0.52173913,-0.285714286,-0.088888889,0.163265306,-0.195121951,-0.163265306,0.029411765,0.1942959,0.013274336,0.00896861,-0.108597285,-0.381632653,-0.079763663,-0.049247606,-0.026075619,-0.044472681,0.01946472
50,Clear Lake,,0,-51.66981132,-0.030270464,0.006258693,-0.012421274,0.423881113,0,0.00389922,0.003312255,0.003927492,-0.000606612,0,0.842911877,-0.048780488,0.065891473,-0.008298755,-0.057613169,-0.015564202,-0.042145594,0.0625,0.015686275,0,0,-0.65,0.075757576,0.081967213,0.017857143,-5.327272727,0.014367816,-0.005830904,0.005797101,-0.020408163,0,0,0,0.75,0.5,-1,-1,0,-14,-0.4,-0.238095238,0,0,0,0.053406998,0.410505837,-0.587458746,-0.496881497,-0.077777778,-0.005154639,-0.046153846,-0.020833333,-0.024009604
51,Cleary Lake,,0.374579125,1,0,0,0,0,-0.034037559,-0.217934166,-0.32805219,0.314385965,-0.025588536,0.062937063,1,0,0,0,0,-0.1875,0.019736842,0,-0.020134228,0.046052632,0,1,0,0,0,0,0,0.027777778,0.142857143,-0.166666667,0,0,0,0,0,0,0,0,0,1,0,0,0.351351351,1,0,0,0,0,-0.119047619,-0.074468085,-0.00990099,0,0
52,Cloverdale Lake,,0,0,0,-0.007984032,0.007920792,0.49500998,0.003952569,0.007936508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.04,0.038461538,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,-0.04,0.538461538,-1,-1.416666667,0.068965517,0,0.333333333,0,0
