ID,LakeName,ResidentialCount_2004,ResidentialCount_2005,ResidentialCount_2006,ResidentialCount_2007,ResidentialCount_2008,ResidentialCount_2009,ResidentialCount_2010,ResidentialCount_2011,ResidentialCount_2012,ResidentialCount_2013,ResidentialCount_2014,ResidentialCount_2015,AgriculturalCount_2004,AgriculturalCount_2005,AgriculturalCount_2006,AgriculturalCount_2007,AgriculturalCount_2008,AgriculturalCount_2009,AgriculturalCount_2010,AgriculturalCount_2011,AgriculturalCount_2012,AgriculturalCount_2013,AgriculturalCount_2014,AgriculturalCount_2015,CommercialCount_2004,CommercialCount_2005,CommercialCount_2006,CommercialCount_2007,CommercialCount_2008,CommercialCount_2009,CommercialCount_2010,CommercialCount_2011,CommercialCount_2012,CommercialCount_2013,CommercialCount_2014,CommercialCount_2015,IndustrialCount_2004,IndustrialCount_2005,IndustrialCount_2006,IndustrialCount_2007,IndustrialCount_2008,IndustrialCount_2009,IndustrialCount_2010,IndustrialCount_2011,IndustrialCount_2012,IndustrialCount_2013,IndustrialCount_2014,IndustrialCount_2015,PublicCount_2004,PublicCount_2005,PublicCount_2006,PublicCount_2007,PublicCount_2008,PublicCount_2009,PublicCount_2010,PublicCount_2011,PublicCount_2012,PublicCount_2013,PublicCount_2014,PublicCount_2015
11,Bald Eagle Lake,0.908540686,0.960322798,0.959650303,0.963685272,0.950235373,0.965702757,0.99731002,1,0.987895091,0.987222596,0.641560188,0.640887693,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.945454545,0.963636364,0.927272727,0.963636364,0.981818182,1,0.127272727,0.163636364,0.736363636,0.736363636,0.736363636,0.7
12,Baldwin Lake,0.264394288,0.269921695,0.999078766,1,0.982496545,0.982035928,0.987102718,0.985720866,0.983878397,0.982496545,0.918470751,0.919391985,0,1,0.007289596,0.006626905,0.006626905,0.006626905,0.006626905,0.006626905,0.006626905,0.006626905,0.006626905,0.002650762,0,0.682926829,0.926829268,0.829268293,0.829268293,0.829268293,0.902439024,0.902439024,0.975609756,0.975609756,1,1,0,0,0.666666667,1,1,1,1,1,1,1,1,1,0.081218274,0.081218274,0.852791878,0.903553299,0.868020305,0.868020305,0.807106599,0.807106599,0.969543147,0.979695431,1,1
13,Barker Lake,0,0,0.941176471,0.934640523,0.986928105,1,0.732026144,0.751633987,0.607843137,0.607843137,0.594771242,0.607843137,0,0,0.831081081,0.817567568,0.817567568,0.804054054,0.932432432,1,0.702702703,0.635135135,0.635135135,0.648648649,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0.205882353,0.205882353,0.102941176,0.205882353,0.823529412,1,0.294117647,0.264705882,0.264705882,0.264705882
14,Barnes Lake,0.424870466,0.740932642,1,0.948186528,0.953367876,0.96373057,0.518134715,0.518134715,0.523316062,0.544041451,0.528497409,0.528497409,0.868852459,0.868852459,0.836065574,0.950819672,0.901639344,0.885245902,0.950819672,0.950819672,0.93442623,1,0.885245902,0.885245902,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0.19047619,0.19047619,0.19047619,0.571428571,1,1,0.952380952,0.952380952,0.952380952,0.952380952,0.952380952,0.952380952
15,Bass Lake,0,0,0.988338192,0.988338192,0.994169096,1,0.60058309,0.655976676,0.542274052,0.545189504,0.545189504,0.521865889,0,0,1,1,0.962962963,0.981481481,0.851851852,0.944444444,0.62962963,0.62962963,0.62962963,0.62962963,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0.184210526,0.184210526,0.092105263,0.184210526,0.473684211,1,0.184210526,0.184210526,0.184210526,0.184210526
16,Battle Creek Lake,0.083443011,0.083179784,0.962358515,0.946828113,1,0.970518558,0.534614372,0.534351145,0.533824691,0.533298236,0.499341932,0.499605159,0,0,1,1,1,1,1,1,1,1,1,0.333333333,0,0,0,0,0,0,0.989637306,1,0.989637306,0.979274611,0.994818653,0.958549223,0,0,0.023809524,0.023809524,0.023809524,0.023809524,0.047619048,0.047619048,0.952380952,0.952380952,1,1,0.014354067,0.014354067,0.734449761,0.744019139,0.389952153,0.76076555,0.971291866,0.980861244,0.976076555,1,0.995215311,0.933014354
17,Bavaria Lake,0.763996555,0.844530577,0.903962102,0.98535745,1,0.983204134,0.61627907,0.635228252,0.673557278,0.729112834,0.742463394,0.742463394,0.290640394,1,0.285714286,0.256157635,0.21182266,0.21182266,0.236453202,0.236453202,0.256157635,0.246305419,0.236453202,0.226600985,0,0,0,0,0,0,0.714285714,0.714285714,0.857142857,1,0.285714286,0.285714286,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.25974026,0.415584416,0.454545455,0.506493506,0.649350649,0.681818182,0.662337662,0.662337662,0.714285714,0.733766234,0.837662338,1
18,Bay Pond,0,0,0.857933579,0.939114391,0.999077491,1,0.509225092,0.513837638,0.500922509,0.499077491,0.510147601,0.502767528,0,0,0.910714286,0.839285714,0.875,0.839285714,1,1,0.75,0.732142857,0.714285714,0.714285714,0,0,0,0,0,0,1,1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0.330769231,0.284615385,0.146153846,0.284615385,1,1,0.938461538,0.938461538,0.969230769,0.930769231
19,Benton Lake,0.96361186,0.971698113,0.978436658,0.998652291,1,0.98787062,0.67115903,0.665768194,0.650943396,0.673854447,0.661725067,0.660377358,0.805309735,0.876106195,1,0.787610619,0.805309735,0.840707965,0.778761062,0.796460177,0.796460177,0.787610619,0.805309735,0.805309735,0,0,0,0,0,0,1,1,1,1,1,1,0.68,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.84,0.84,1,1,0.821428571,0.821428571,0.839285714,0.839285714,0.875,0.910714286,0.892857143,0.821428571,0.892857143,0.982142857,0.982142857,1
20,Benz Lake,0,0,0.987730061,0.975460123,1,0.987730061,0.625766871,0.582822086,0.515337423,0.509202454,0.490797546,0.503067485,0,0,0.80952381,0.857142857,0.761904762,0.80952381,0.952380952,1,0.619047619,0.619047619,0.619047619,0.619047619,0,0,0,0,0,0,1,1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0.264705882,0.264705882,0.117647059,0.264705882,1,0.823529412,0.235294118,0.294117647,0.294117647,0.294117647
21,Berliner Lake,0.708211144,0.909090909,0.910557185,1,0.996334311,0.99340176,0.649560117,0.646627566,0.632697947,0.675953079,0.650293255,0.650293255,0.976905312,0.683602771,1,0.697459584,0.688221709,0.665127021,0.68591224,0.68591224,0.68591224,0.692840647,0.709006928,0.718244804,0,0,0,0,0,0,1,1,0.982905983,0.982905983,0.846153846,0.863247863,1,0.818181818,0.818181818,0.818181818,0.727272727,0.727272727,0.727272727,0.727272727,0.727272727,0.727272727,0.818181818,0.727272727,0.479166667,0.5625,0.5625,0.645833333,0.791666667,0.875,0.958333333,0.979166667,0.979166667,1,0.916666667,0.9375
22,Beutel Pond,0,0,0.980182323,0.977804201,1,0.978993262,0.504954419,0.505350773,0.502576298,0.502576298,0.502972652,0.499801823,0,0,1,1,0.958333333,0.916666667,0.833333333,0.833333333,0.583333333,0.583333333,0.833333333,0.708333333,0,0,0,0,0,0,0.978723404,1,1,0.978723404,0.914893617,0.893617021,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0.899082569,0.899082569,0.458715596,0.917431193,0.990825688,0.990825688,0.990825688,1,1,0.990825688
23,Big Carnelian Lake,0,0,1,0.9844479,0.895800933,0.975116641,0.489891135,0.496111975,0.486780715,0.493001555,0.491446345,0.486780715,0,0,0.931034483,0.931034483,1,1,0.896551724,0.965517241,0.75862069,0.75862069,0.689655172,0.689655172,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0.75,0.75,0.34375,0.75,1,1,1,1,1,0.875
24,Big Marine Lake,0,0,1,0.975308642,0.888888889,0.975308642,0.518518519,0.530864198,0.50617284,0.481481481,0.481481481,0.481481481,0,0,0.9375,0.9375,0.9375,0.9375,0.9375,1,0.6875,0.6875,0.6875,0.6875,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0.72,0.72,0.366666667,0.733333333,0.84,1,0.786666667,0.813333333,0.813333333,0.793333333
25,Big Woods Lake,0.978873239,0.978873239,0.971830986,0.971830986,0.992957746,1,0.711267606,0.711267606,0.697183099,0.753521127,0.718309859,0.718309859,0.9,1,0.9,0.9,0.8,0.8,0.75,0.75,0.8,0.75,0.65,0.65,0,0,0,0,0,0,0.903225806,0.903225806,0.967741935,1,0.838709677,0.774193548,0.847457627,0.906779661,0.906779661,0.906779661,0.906779661,0.898305085,0.915254237,0.915254237,0.966101695,0.966101695,1,0.949152542,0.794520548,0.794520548,0.794520548,0.794520548,0.821917808,0.876712329,1,1,0.849315068,0.794520548,0.835616438,0.835616438
26,Birch Lake,0.895776772,0.907843137,0.931523379,0.936953243,0.931674208,0.933484163,0.986726998,1,0.950980392,0.951282051,0.605128205,0.592760181,0.433962264,0.433962264,0.962264151,0.962264151,0.773584906,0.735849057,1,0.886792453,0.528301887,0.566037736,0.566037736,0.566037736,0.035040431,0.040431267,0.035040431,0.035040431,0.040431267,0.035040431,0.301886792,0.301886792,0.892183288,0.905660377,0.948787062,1,0.822429907,0.785046729,0.747663551,0.878504673,0.906542056,1,0.831775701,0.85046729,0.962616822,0.841121495,0.841121495,0.822429907,0.969407266,0.963671128,0.948374761,1,0.998087954,0.998087954,0.34416826,0.499043977,0.439770554,0.435946463,0.4416826,0.351816444
27,Bone Lake,0,0,1,0.987841945,0.981762918,1,0.52887538,0.541033435,0.504559271,0.498480243,0.498480243,0.474164134,0,0,0.9,0.875,0.875,0.85,1,0.975,0.775,0.8,0.8,0.725,0,0,0,0,0,0,1,1,1,1,0.333333333,0.416666667,0,0,0,0,0,0,0,0,0,0,0.8,1,0,0,0.4375,0.4375,0.270833333,0.4375,1,0.916666667,0.666666667,0.666666667,0.416666667,0.291666667
28,Brand Lake,0.930102516,0.989748369,0.993476235,0.997204101,0.997204101,1,0.774464119,0.775396086,0.753028891,0.794035415,0.777260019,0.772600186,0.902325581,0.893023256,0.925581395,1,0.925581395,0.911627907,0.897674419,0.869767442,0.920930233,0.920930233,0.948837209,0.96744186,0,0,0,0,0,0,0.988700565,1,1,1,0.93220339,0.943502825,0.782608696,1,1,0.391304348,0.391304348,0.391304348,0.434782609,0.434782609,0.608695652,0.695652174,0.869565217,0.869565217,0.67839196,0.683417085,0.673366834,0.683417085,0.809045226,0.809045226,1,0.934673367,0.934673367,0.924623116,0.899497487,0.899497487
29,Braunworth Lake,0.982885086,0.975550122,0.992665037,1,1,0.992665037,0.69193154,0.69193154,0.682151589,0.718826406,0.699266504,0.699266504,0.946428571,1,0.892857143,0.857142857,0.857142857,0.857142857,0.892857143,0.892857143,0.875,0.910714286,0.857142857,0.839285714,0,0,0,0,0,0,1,1,1,1,0.833333333,0.833333333,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,0.96875,0.96875,0.96875,0.96875,0.96875,0.96875,1,1,1,0.90625,0.90625,0.90625
30,Brick Pond,0,0,0.943747882,0.975601491,1,0.982378855,0.500169434,0.495764148,0.491358861,0.492375466,0.490342257,0.470349034,0,0,0.625,0.375,0.5,0.375,1,1,0.5,0.5,0.5,0.5,0,0,0,0,0,0,1,0.991525424,0.978813559,0.966101695,0.978813559,0.972457627,0,0,0.304347826,0.304347826,0.304347826,0.304347826,0.608695652,0.565217391,0.913043478,0.869565217,1,1,0,0,0.806122449,0.788265306,0.403061224,0.785714286,0.974489796,1,0.959183673,0.943877551,0.933673469,0.823979592
31,Brickyard Clayhole Lake,0.926814988,0.922131148,0.926229508,0.967213115,1,0.996487119,0.631147541,0.629976581,0.62529274,0.644613583,0.658079625,0.658079625,0.153846154,0.153846154,1,0.051282051,0.051282051,0.051282051,0.051282051,0.051282051,0.051282051,0.051282051,0.051282051,0.051282051,0,0,0,0,0,0,1,1,0.97826087,0.97826087,0.97826087,0.956521739,0.357142857,0.357142857,0.357142857,0.571428571,0.571428571,0.571428571,0.571428571,0.714285714,1,1,0.857142857,0.857142857,0.85,0.9875,0.975,0.975,1,0.98125,0.86875,0.88125,0.88125,0.875,0.9375,0.9375
32,Bryant Lake,0,1,0.856584094,0.859191656,0.870925684,0.867014342,0.867014342,0.869621904,0.867014342,0.543676662,0.55410691,0.542372881,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0.340425532,0.484042553,0.489361702,1,0.686170213,0.686170213,0.675531915,0.680851064,0.728723404,0.686170213,0.696808511,0,0.375,0.375,0.375,1,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0,0.428571429,0.5,0.5,0.571428571,0.571428571,0.571428571,0.571428571,0.571428571,0.571428571,1,1
33,Buck Lake,0.827648115,0.517055655,0,0,0,0,0.515260323,0.581687612,0.723518851,1,0.68940754,0.691202873,1,0.676190476,0,0,0,0,0.628571429,0.561904762,0.519047619,0.50952381,0.519047619,0.528571429,0,0,0,0,0,0,0,1,0.857142857,0.785714286,0.857142857,0.857142857,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.545454545,0.454545455,0,0,0,0,0.272727273,0.727272727,0.727272727,0.727272727,1,1
34,Burandt Lake,0.843383948,0.913015184,0.954446855,0.988286334,0.998915401,1,0.694577007,0.693926247,0.69154013,0.699566161,0.693492408,0.707158351,0.240963855,0.86746988,1,0.220883534,0.18875502,0.192771084,0.196787149,0.204819277,0.204819277,0.204819277,0.224899598,0.200803213,0,0,0,0,0,0,1,0.995110024,1,0.995110024,0.980440098,0.987775061,0.727272727,0.787878788,0.787878788,0.787878788,0.787878788,0.787878788,0.787878788,0.787878788,0.787878788,0.818181818,1,1,0.8203125,0.859375,0.8828125,0.921875,1,0.984375,0.87890625,0.88671875,0.88671875,0.88671875,0.87109375,0.9140625
35,Bush Lake,0.000225445,1,0.968738258,0.970466672,0.973322312,0.961749455,0.961298565,0.960847674,0.966934696,0.620275043,0.621702863,0.623205832,0,0.950819672,0.950819672,0.950819672,0.950819672,0.950819672,1,1,1,1,1,1,0,0.862068966,0.856321839,0.844827586,1,0.890804598,0.879310345,0.890804598,0.896551724,0.890804598,0.890804598,0.890804598,0,0.983050847,0.940677966,0.966101695,1,0.966101695,0.983050847,1,0.966101695,0.949152542,0.949152542,0.93220339,0.007109005,0.995260664,0.983412322,0.983412322,0.988151659,0.988151659,0.992890995,0.997630332,0.997630332,1,1,0.995260664
36,Byllesby Lake,0.679273544,0.720464333,0.733570492,0.746302191,0.748736192,0.756787119,0.779254821,0.744617113,0.984085377,0.989515072,0.992885227,1,0.88440367,0.962201835,0.984587156,0.950091743,0.941651376,0.968807339,0.969174312,0.982752294,0.988256881,0.982385321,1,0.991192661,0.929487179,0.929487179,0.967948718,0.974358974,0.948717949,1,0.987179487,0.948717949,0.923076923,0.903846154,0.91025641,0.935897436,0.4125,0.3875,0.3875,0.975,1,0.45,0.475,0.525,0.575,0.525,0.5,0.5,0.673863636,0.696590909,0.7,0.702272727,0.689772727,0.707954545,0.818181818,0.893181818,0.9375,0.943181818,1,0.996590909
37,Calhoun Lake,0,0.216342934,0.20690495,1,0.47865798,0.554040066,0.552182914,0.55096511,0.55251781,0.850210071,0.850210071,0.847561347,0,0.006172372,0.0136701,1,0.350802787,0.444032111,0.441987277,0.440699788,0.442744623,0.831717661,0.831717661,0.827779461,0,0.076831811,0.073380312,1,0.443733372,0.487596175,0.47059035,0.452398073,0.445351262,0.812324729,0.810023729,0.809879917,0,0.328481511,0.273800157,0.263571991,1,0.616050354,0.405192762,0.215184894,0.01534225,0.014555468,0.012981904,0.012981904,0,0.85,0.65,0.7,1,1,1,1,1,1,1,1
38,Campbell Lake,0.550387597,0.565891473,0.585271318,0.585271318,0.585271318,1,0.651162791,0.627906977,0.600775194,0.763565891,0.631782946,0.631782946,0.764705882,0.762443439,0.753393665,0.753393665,1,0.766968326,0.773755656,0.766968326,0.7760181,0.769230769,0.800904977,0.807692308,0,0,0,0,0,0,0.846153846,0.769230769,0.769230769,0.769230769,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0.909090909,0.909090909,0.909090909,0.909090909,0.727272727,0.363636364,0.818181818,0.818181818,0.818181818,1,1,1
39,Capaul Pond,0,0,0.974619289,1,1,1,0.52284264,0.532994924,0.502538071,0.507614213,0.507614213,0.492385787,0,0,0.695652174,0.565217391,0.586956522,0.565217391,0.956521739,1,0.608695652,0.608695652,0.608695652,0.608695652,0,0,0,0,0,0,1,1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0.863636364,0.863636364,0.409090909,0.863636364,0.818181818,1,0.818181818,0.727272727,0.727272727,0.727272727
40,Carol Lake,0,0,0.987903226,0.987903226,1,0.995967742,0.532258065,0.528225806,0.508064516,0.508064516,0.508064516,0.512096774,0,0,0.888888889,0.888888889,0.851851852,0.851851852,1,0.962962963,0.777777778,0.740740741,0.777777778,0.740740741,0,0,0,0,0,0,1,1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0.625,0.625,0.3125,0.625,1,0.625,0.625,0.625,0.625,0.625
41,Carver Lake,0.400666797,0.400372622,0.98234948,0.981957247,1,0.985389292,0.705334379,0.71161012,0.70719749,0.70719749,0.54157678,0.541184546,0.25,0.25,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0.881578947,0.881578947,1,0.993421053,0.993421053,1,0.021390374,0.021390374,0.278074866,0.28342246,0.28342246,0.304812834,0.582887701,0.582887701,1,1,1,1,0.371575342,0.375,0.854452055,0.866438356,0.635273973,0.90239726,0.765410959,0.820205479,0.977739726,0.979452055,1,0.976027397
42,Cates Lake,0.741452991,0.525030525,0,0,0,0,0.602869353,0.619047619,0.66025641,1,0.671855922,0.675518926,0.220779221,0.142857143,0,0,0,0,0.051948052,0.272727273,0.25974026,0.214285714,0.25974026,1,0,0.416666667,0,0,0,0,0,0.916666667,0.875,0.75,0.75,1,0.125,0.083333333,0,0,0,0,1,0.833333333,0.666666667,0.416666667,0.583333333,0.75,0.919230769,0.684615385,0,0,0,0,0.826923077,0.896153846,0.857692308,0.903846154,0.884615385,1
43,Cedar Island Lake,0,0.992827004,0.971729958,0.979746835,0.991983122,0.994092827,0.993248945,0.994092827,1,0.637130802,0.676371308,0.708860759,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0.4922049,0.483296214,0.668151448,1,0.79064588,0.795100223,0.79064588,0.828507795,0.821826281,0.821826281,0.83518931,0,0.765822785,1,0.791139241,0.759493671,0.715189873,0.784810127,0.797468354,0.582278481,0.911392405,0.544303797,0.53164557,0,0.689655172,0.689655172,0.896551724,0.827586207,0.862068966,0.931034483,0.931034483,1,0.827586207,0.827586207,0.689655172
44,Cedar Lake,0.823268921,0.566827697,0,0,0,0,0.582930757,0.628019324,0.738325282,1,0.643719807,0.642914654,1,0.571287129,0,0,0,0,0.532673267,0.542574257,0.518811881,0.525742574,0.542574257,0.572277228,0.064285714,0.557142857,0,0,0,0,0.042857143,0.957142857,0.978571429,0.885714286,1,0.985714286,0,0,0,0,0,0,0.5,1,0.95,0.7,0.95,0.95,0.704545455,0.545454545,0,0,0,0,0.721590909,0.8125,0.801136364,0.767045455,0.806818182,1
45,Cenaiko Lake,0,0.35383477,0.966962653,1,0.996648385,0.996126056,0.996256638,0.995560198,0.995342561,0.868285888,0.86963524,0.868895273,0,1,0.010081961,0.000290128,0.000217596,0.000217596,0.00036266,0.00036266,0.000543991,0.00311888,0.001015449,0.0077972,0,1,0.792820513,0.832820513,0.774358974,0.776410256,0.775384615,0.773333333,0.775384615,0.773333333,0.773333333,0.786666667,0,0.017492711,1,0.988338192,0.950437318,0.967930029,0.932944606,0.944606414,0.932944606,0.932944606,0.927113703,0.909620991,0,0.104738155,0.995012469,1,0.911055694,0.911886949,0.928512053,0.931837074,0.935162095,0.960099751,0.95843724,0.961762261
46,Centerville Lake,0,0.011434511,0.913721414,0.940748441,1,1,0.998960499,1,1,0.998960499,0.996881497,0.994802495,0,1,0.013134328,0.013134328,0.012537313,0.012537313,0.013731343,0.012537313,0.012537313,0.011343284,0.011343284,0.011343284,0,0.9,0.9,0.85,0.925,0.925,1,0.9,0.925,0.9,0.85,0.825,0,0,0.875,0.875,1,1,1,1,1,1,1,1,0,0,0.774468085,0.834042553,0.940425532,0.957446809,0.965957447,0.965957447,0.970212766,0.991489362,1,0.982978723
