70005400-01,Spring Lake,Prior Lake,Scott,Lower Minnesota River,1,2,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,2,0,2,1,2,2,2,1,1,1,1,1,1,NA
70007200-01,Upper Prior Lake,Prior Lake,Scott,Lower Minnesota River,1,1,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,2,1,1,1,1,1,2,1,2,1,1,2,2,2,2,1,2,NA
70009100-01,Cedar Lake,Helena Township,Scott,Lower Minnesota River,0,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,0,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
82004600-01,Square Lake,May Township,Washington,Lower St. Croix River,4,4,4,4,4,4,NA,NA,NA,4,NA,NA,NA,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,4,4,4,4,4
82004900-01,Big Carnelian Lake,May Township,Washington,Lower St. Croix River,4,NA,NA,NA,3,NA,NA,NA,NA,4,NA,4,NA,NA,4,NA,4,4,4,3,4,4,4,3,4,4,4,4,NA,NA,4,NA,4,4,4
82005204-01,Big Marine Lake,May Township,Washington,Lower St. Croix River,3,3,NA,NA,3,NA,NA,NA,NA,4,NA,3,NA,NA,4,NA,4,4,4,3,4,4,3,4,4,4,3,4,NA,NA,NA,4,NA,4,4
82010100-01,DeMontreville Lake,Lake Elmo,Washington,Lower St. Croix River,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,3,NA,3,NA,NA,NA,NA,4,NA,NA,4,4,3,3,2,4,3,3,4,4,4,4
82010600-01,Elmo Lake,Lake Elmo,Washington,Lower St. Croix River,3,4,3,NA,3,NA,NA,NA,4,NA,NA,4,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,4,4,4,3,4,4,4
82011500-01,Tanners Lake,Oakdale,Washington,Mississippi River - Twin Cities,3,NA,NA,3,2,3,3,3,3,NA,NA,NA,NA,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82015900-01,Forest Lake,Forest Lake Township,Washington,Lower St. Croix River,2,NA,NA,NA,2,NA,2,NA,2,3,NA,2,NA,2,NA,3,2,3,3,2,2,3,2.666666667,2,3,2,2,2,3,3,3,2,2.333333333,2.666666667,2.666666667
82016300-01,Clear Lake,Forest Lake Township,Washington,Mississippi River - Twin Cities,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,3,3,3,3,3,3,2,2,3,3,NA,NA,2,NA,4,2,4,NA,NA,NA,4
02000500-01,George Watch Lake,Lino Lakes,Anoka,Mississippi River - Twin Cities,NA,0,1,1,NA,1,NA,1,1,0,1,0,NA,NA,NA,NA,0,1,0,1,1,0,1,1,0,1,0,0,1,1,1,1,0,0,NA
02000700-01,Marshan Lake,Lino Lakes,Anoka,Mississippi River - Twin Cities,NA,1,NA,1,NA,1,NA,0,1,1,1,NA,NA,NA,NA,NA,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27010400-01,Medicine Lake,Plymouth,Hennepin,Mississippi River - Twin Cities,NA,2,NA,2,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2
62006900-01,Pike Lake,New Brighton,Ramsey,Mississippi River - Twin Cities,NA,1,1,2,NA,2,2,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82014000-01,Oneka Lake,Hugo,Washington,Mississippi River - Twin Cities,NA,3,NA,2,NA,3,NA,3,NA,NA,2,2,3,NA,NA,NA,NA,NA,NA,3,3,2,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27010300-01,Lost Lake,Plymouth,Hennepin,Mississippi River - Twin Cities,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27071100-01,Westwood Lake,St. Louis Park,Hennepin,Mississippi River - Twin Cities,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,3,2,2,3,3,2,2,2,3,2,3,2,2,NA,NA
02000400-01,Peltier Lake,Lino Lakes,Anoka,Mississippi River - Twin Cities,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,1,1,1,1,0,0,1,1,1,0,1,NA,NA,NA,NA,NA,NA,NA
02002200-01,Island Lake,Linwood Township,Anoka,Lower St. Croix River,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,2,3,3,2,2,2,3,NA,NA
02003400-01,Martin Lake,Linwood Township,Anoka,Lower St. Croix River,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,1,1,NA,1,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA
02008400-01,Crooked Lake,Coon Rapids,Anoka,Mississippi River - Twin Cities,NA,NA,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,3,3,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10001900-01,Bavaria Lake,Chaska,Carver,Lower Minnesota River,NA,NA,NA,2,NA,NA,2,2,NA,NA,NA,NA,NA,NA,3,NA,3,4,4,3,3,3,3,3,3,2,3,3,2,3,3,3,2,2,2
10004401-01,Auburn Lake,Laketown Township,Carver,Mississippi River - Twin Cities,NA,NA,NA,2,NA,NA,3,3,NA,2,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10004800-01,Wasserman Lake,Victoria,Carver,Mississippi River - Twin Cities,NA,NA,NA,1,NA,NA,2,2,NA,NA,NA,NA,NA,NA,2,NA,NA,2,1,1,NA,NA,2,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
19006500-01,Holland Lake,Eagan,Dakota,Lower Minnesota River,NA,NA,NA,2,2,2,NA,NA,3,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27004700-01,Bush Lake,Bloomington,Hennepin,Lower Minnesota River,NA,NA,NA,3,4,NA,NA,NA,NA,NA,NA,NA,NA,4,4,NA,NA,NA,NA,3,NA,4,NA,NA,3,NA,4,3,4,4,4,4,3,4,4
82016600-01,Carver Lake,Woodbury,Washington,Mississippi River - Twin Cities,NA,NA,NA,2,2,2,2,1,2,NA,NA,NA,NA,2,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
02005300-01,Ham Lake,Ham Lake,Anoka,Mississippi River - Twin Cities,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,4,3,NA,4,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10000900-01,Minnewashta Lake,Chanhassen,Carver,Mississippi River - Twin Cities,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,4,NA,NA,4,NA,NA,NA,4,4,4,NA,NA,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10001800-01,Schutz Lake,Victoria,Carver,Mississippi River - Twin Cities,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
10004100-01,Zumbra Lake,Victoria,Carver,Mississippi River - Twin Cities,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10004200-01,Parley Lake,Laketown Township,Carver,Mississippi River - Twin Cities,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
10004500-01,Stieger Lake,Victoria,Carver,Mississippi River - Twin Cities,NA,NA,NA,NA,3,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19007500-01,Schultz Lake,Eagan,Dakota,Lower Minnesota River,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27011900-01,Cedar Island Lake,Maple Grove,Hennepin,Mississippi River - Twin Cities,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA
62000100-01,Silver Lake,North St. Paul,Ramsey,Lower St. Croix River,NA,NA,NA,NA,2,3,2,3,3,3,3,3,3,3,4,3,3,3,3,2,2.5,2.5,3,3,3,3.5,2.5,2,2,3,NA,NA,NA,NA,NA
62005400-01,McCarrons Lake,Roseville,Ramsey,Mississippi River - Twin Cities,NA,NA,NA,NA,3,2,3,2,2,2,NA,2,NA,2,3,2,2,NA,NA,2,2,3,2,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
70009500-01,O'Dowd Lake,Shakopee,Scott,Lower Minnesota River,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA,2,NA,1,NA,NA,2,1,2,2,2,2,2,2,2,3
70012001-01,Thole Lake,Louisville Township,Scott,Lower Minnesota River,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,1,NA,1,NA,NA,1,1,NA,NA,NA,NA,2,NA,NA,NA
82005400-01,Bone Lake,Scandia,Washington,Lower St. Croix River,NA,NA,NA,NA,2,NA,NA,2,2,2,NA,2,NA,2,NA,NA,NA,2,2,2,NA,2,2,2,2,2,2,2,2,2,2,3,2,2,2
82010300-01,Olson Lake,Lake Elmo,Washington,Lower St. Croix River,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,3,NA,3,NA,3,NA,NA,NA,NA,4,NA,NA,4,4,3,3,3,4,4,3,4,3,4,4
82010400-01,Jane Lake,Lake Elmo,Washington,Lower St. Croix River,NA,NA,NA,NA,2,NA,3,3,NA,NA,NA,3,NA,NA,4,NA,NA,NA,NA,NA,4,NA,NA,NA,4,4,4,4,4,4,4,4,NA,NA,NA
82011800-01,Long Lake,Pine Springs,Washington,Lower St. Croix River,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82015300-01,Sunset Lake,Hugo,Washington,Mississippi River - Twin Cities,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,3,2,2,2,2,2,3,4,4,4,4,4,4,4,4,4,NA,3,4,4,4
10000600-01,Lotus Lake,Chanhassen,Carver,Lower Minnesota River,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,1,2,2,2,2,2,2,2,2,NA,NA,NA
10000700-01,Lucy Lake,Chanhassen,Carver,Lower Minnesota River,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2
10001200-01,Ann Lake,Chanhassen,Carver,Lower Minnesota River,NA,NA,NA,NA,NA,4,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,3,4,NA,4,NA,NA
10005200-01,Reitz Lake,Laketown Township,Carver,Lower Minnesota River,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,2,2,1,2,2,2,2,2,3,2,2,3,2,1,2,2
10008800-01,Hydes Lake,Waconia Township,Carver,Lower Minnesota River,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,NA,1,1,2,1,2,1,1,1,1,0,1,2,2,2,2,2
19007600-01,McDonough Lake,Eagan,Dakota,Lower Minnesota River,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27004201-01,Twin Lake,Brooklyn Center,Hennepin,Mississippi River - Twin Cities,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,1,NA,1.5,NA,NA,1.333333333,3.5,2.333333333,2,1.333333333,3,1.333333333,2,0.5,2,1,1.5,1.8,2,2.166666667,1.5,1,3,2.5
82012200-01,Pine Tree Lake,Grant,Washington,Mississippi River - Twin Cities,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,3,3,2,2,3,3,3,3,3,2,2,3,3,3,3,3,4,4,3,4,4,3
82008000-01,Halfbreed Lake,Forest Lake Township,Washington,Lower St. Croix River,NA,NA,NA,NA,NA,NA,3,4,4,4,NA,4,NA,4,NA,NA,4,NA,4,4,4,4,4,4,4,4,NA,4,4,4,4,4,4,4,4
27013400-01,Mooney Lake,Plymouth,Hennepin,Mississippi River - Twin Cities,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19002100-01,Alimagnet Lake,Burnsville,Dakota,Mississippi River - Lake Pepin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,1,2,2,1,1,1,1,1,1,1,0,1,1,1,2,2,2,1,1
19009500-01,Seidl Lake,Inver Grove Heights,Dakota,Mississippi River - Twin Cities,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,3,3,2,2,1,2,2,1,2,2,2,1,1,NA,NA,2,1,NA,NA,NA
27006700-01,Bryant Lake,Eden Prairie,Hennepin,Lower Minnesota River,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27007000-01,Mitchell Lake,Eden Prairie,Hennepin,Lower Minnesota River,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,1,1,NA,NA,1,2,2,1,2,2,2,2,2,2,2,2
82001400-01,Little Carnelian Lake,Stillwater Township,Washington,Lower St. Croix River,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,NA,NA,NA,4,4,NA,NA,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,4,4
82003500-01,Bass Lake,May Township,Washington,Lower St. Croix River,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,NA,NA,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82003600-01,Turtle Lake,May Township,Washington,Lower St. Croix River,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,1,1,1,2,2,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82016200-01,Shields Lake,Forest Lake,Washington,Lower St. Croix River,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,1,1,1
02008000-01,Sullivan Lake,Columbia Heights,Anoka,Mississippi River - Twin Cities,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,1,1,1,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19000600-01,Byllesby Lake,Stanton Township,Goodhue,Cannon River,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19002200-01,Long Lake,Apple Valley,Dakota,Mississippi River - Lake Pepin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,2,1.5,1.5,1.5,0,1,1,1,1.25,1.333333333,2,1.666666667,1.833333333,2,2.5,2.333333333,2.4,2,1.75,2.25,1.8
19003000-01,Kingsley Lake,Lakeville,Dakota,Lower Minnesota River,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,3,4,4,NA,NA,4,3,4,3,4,4,3,4,4,4,4,4,NA,NA,4
19003700-01,Simley Lake,Inver Grove Heights,Dakota,Mississippi River - Twin Cities,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,3,3,3,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA
19004100-01,Marcott Lake,Inver Grove Heights,Dakota,Mississippi River - Lake Pepin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,3,4,4,4,4,4,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA
19026300-01,Marcott Lake,Inver Grove Heights,Dakota,Mississippi River - Lake Pepin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27073400-01,Crane Lake,Minnetonka,Hennepin,Mississippi River - Twin Cities,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70009800-01,Pleasant Lake,Helena Township,Scott,Lower Minnesota River,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82006700-01,Sand Lake,Scandia,Washington,Lower St. Croix River,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,NA,NA,NA,NA,NA,2,2,3,2,2,3,2,3,2,NA,NA,NA,2
82009100-01,Battle Creek Lake,Woodbury,Washington,Mississippi River - Twin Cities,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82013401-01,Lost Lake,Mahtomedi,Washington,Mississippi River - Twin Cities,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,3,NA,NA,NA,NA,NA,NA
13005300-01,Big Comfort Lake,Wyoming Township,Chisago,Lower St. Croix River,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2,3,2,2,2,3,2,3,3,3,3,2,2,3,2
13005400-01,Little Comfort Lake,Chisago City,Chisago,Lower St. Croix River,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,2,3,3,2,2,2,2
